718,"储存设备										",0,2,60,15,7
719,"UPS													",0,2,60,15,7
720,"台式工作站									",0,2,60,10,7
721,"电话会议机									",0,2,60,15,7
722,"档案柜											",0,2,60,15,7
723,"对讲机											",0,2,60,100,7
730,台式电脑,0,2,60,10,7
799,"其他办公设备								",0,2,60,15,7
801,"医疗设备										",0,2,60,5,8
802,"厨用设备										",0,2,60,5,8
803,"消防设备										",0,2,60,5,8
804,"工具仪表										",0,2,60,5,8
805,"工具柜											",0,2,60,5,8
806,"防潮柜											",0,2,60,5,8
807,"试验台											",0,2,60,5,8
808,"打卡设备										",0,2,60,5,8
809,"物流辅助设备								",0,2,60,5,8
810,"电视机、LED屏								",0,2,60,5,8
811,"电视机、LED屏（办公用）			",0,2,60,5,8
812,"福利类											",0,2,60,5,8
899,其他,0,2,60,5,8
